"scenario","year","supertaz","Pop_Forecast","Total_Aprt","Average","Total_Emp","Total_Students","EmployedEducation","Yeshiva","Total Higher_Education","Industry","Commerce_Hotel","Business","Public"
"base",2025,22,593426.0516,123075.6873,160.7000,26580.3414,35832.5359,2986.0447,1695.5538,16537.5000,0.0000,0.0000,0.0000,0.0000
"base",2025,23,439655.8526,88326.4659,56.5000,8138.4289,1537.2263,128.1022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,3,134996.1742,27413.3440,83.0489,10419.9655,37209.1713,3100.7643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,4,176810.9587,57729.3279,275.6740,44295.7306,44312.5225,3692.7102,1524.0000,1475.3031,0.0000,0.0000,0.0000,0.0000
"base",2025,5,127021.3683,38803.2947,168.7840,41615.9157,35308.6518,2942.3877,7988.8654,15126.5550,0.0000,0.0000,0.0000,0.0000
"base",2025,6,201988.7936,39828.3302,288.5042,70555.9200,78708.7482,6559.0623,33705.6721,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,7,269679.8241,59448.8972,237.6281,25083.0927,65285.4651,5440.4554,1156.1926,3307.5000,0.0000,0.0000,0.0000,0.0000
"base",2025,8,35917.4567,11421.4098,55.0927,3058.0274,5911.8154,492.6513,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,9,60608.4509,14818.3573,54.4137,7512.2659,12368.6231,1030.7186,697.5735,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,1,173448.9340,49586.4953,280.2807,143747.0745,68942.8220,5745.2352,28703.9694,14694.4376,0.0000,0.0000,0.0000,0.0000
"base",2030,10,287488.6600,55544.9685,303.1057,36404.7121,104823.6798,8735.3067,12684.4048,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,11,228860.0412,49052.8103,145.4644,27311.3065,78238.3088,6519.8591,8945.7344,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,12,294168.7194,59117.2201,255.8580,8569.9717,19509.6368,1625.8031,1863.5302,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,13,293412.0290,58379.5073,99.3000,8016.0650,21706.8297,1808.9025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,14,77241.6288,18282.5943,96.0434,13450.5275,16895.2711,1407.9393,311.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,15,51368.8797,10312.6165,19.2000,794.0715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,16,330672.7519,66661.5853,154.9793,8886.8211,17431.9120,1452.6593,348.0653,2188.9271,0.0000,0.0000,0.0000,0.0000
"base",2030,17,74043.1779,10030.4680,101.2636,5226.1144,29897.6144,2491.4679,6027.3470,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,18,555282.5808,111500.5455,150.5000,9234.4834,4060.0626,338.3385,895.1607,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,19,403421.2472,81086.5793,49.2000,7368.5338,3902.3793,325.1983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,2,83075.5038,20191.7177,92.9033,26271.9354,19842.2318,1653.5193,0.0000,12094.6500,0.0000,0.0000,0.0000,0.0000
"base",2030,20,72391.3199,14872.6801,32.0000,1872.4932,2747.4856,228.9571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,21,465610.8322,92981.9161,35.3000,7635.4065,3335.0208,277.9184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,22,651501.5305,135131.3466,159.8000,31375.5903,43400.9944,3616.7495,2415.4400,17364.3750,0.0000,0.0000,0.0000,0.0000
"base",2030,23,473222.9698,95365.0699,55.5000,8821.7870,1875.1867,156.2656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,3,150634.5563,30598.9516,83.2133,11072.6636,41490.7371,3457.5614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,4,203332.3339,65575.0998,277.8145,46070.6867,49933.4186,4161.1182,1524.0000,1598.7460,0.0000,0.0000,0.0000,0.0000
"base",2030,5,143574.5149,43477.1691,182.3172,46413.4563,38457.1333,3204.7611,8064.0600,16271.8752,0.0000,0.0000,0.0000,0.0000
"base",2030,6,213540.3264,41491.2669,300.6563,76305.2227,82350.4649,6862.5387,33985.0444,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,7,305977.1377,66119.0011,245.5173,27625.8088,71739.3554,5978.2796,1294.7597,3472.8750,0.0000,0.0000,0.0000,0.0000
"base",2030,8,41078.3418,12458.3598,60.2973,3235.4599,7053.3548,587.7796,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,9,66508.4448,16189.5573,58.3335,8427.7919,13926.6442,1160.5537,722.8843,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,1,180313.6280,52152.4880,277.8024,155994.4268,71318.6047,5943.2171,29105.7400,15528.1219,0.0000,0.0000,0.0000,0.0000
"base",2035,10,355372.8680,67302.3285,329.8961,41237.1520,131872.4096,10989.3675,17673.1362,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,11,269834.7752,59031.1496,149.6686,31747.7288,94730.3600,7894.1967,9859.2759,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,12,318062.2432,63857.4170,251.9810,9530.0745,23612.7873,1967.7323,2209.3601,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,13,320541.6729,63567.8757,99.0000,9100.4691,27235.9545,2269.6629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,14,88681.3021,21206.8003,102.9300,14222.5271,20168.7623,1680.7302,311.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,15,54525.2556,10984.1859,18.8000,845.7823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,16,364255.0741,73427.3497,153.5793,10341.7938,24196.5955,2016.3830,1007.5560,2353.0966,0.0000,0.0000,0.0000,0.0000
"base",2035,17,75117.0580,10183.2504,101.1636,6436.3978,30288.0651,2524.0054,6211.6862,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,18,608702.5902,122801.7469,148.0000,10170.6771,4644.5140,387.0428,971.2907,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,19,444761.3862,89810.5340,49.3000,8272.0574,4971.7723,414.3144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,2,92707.3282,22988.9872,92.7642,30897.2978,22023.4880,1835.2907,0.0000,12336.5430,0.0000,0.0000,0.0000,0.0000
"base",2035,20,78202.7236,16061.0357,32.0000,2052.1958,3196.6014,266.3835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,21,495342.3228,99179.4395,34.7000,8206.3310,4076.2139,339.6845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,22,706463.5822,146723.0356,159.0000,37483.2831,52195.7141,4349.6428,2969.5150,18232.5938,0.0000,0.0000,0.0000,0.0000
"base",2035,23,503986.8111,101903.9515,54.8000,9479.6928,2260.4350,188.3696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,3,168955.8257,34400.7591,83.1844,11832.4386,46427.8938,3868.9912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,4,238647.4957,76459.4711,276.2205,48288.9150,58183.0648,4848.5887,1524.0000,1733.3665,0.0000,0.0000,0.0000,0.0000
"base",2035,5,165829.6865,49955.8753,180.6637,52633.2202,45764.7653,3813.7304,8179.7760,17506.5523,0.0000,0.0000,0.0000,0.0000
"base",2035,6,225887.4396,43365.4035,313.2378,84903.1658,87766.2570,7313.8548,35468.2213,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,7,337751.8956,72044.9637,246.5332,29283.0817,77896.6786,6491.3899,1401.1271,3646.5188,0.0000,0.0000,0.0000,0.0000
"base",2035,8,41935.2019,12754.6098,60.3184,3312.8460,7660.8673,638.4056,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,9,72543.0793,17775.7573,58.6179,9654.0266,15700.3555,1308.3630,751.8011,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2040,1,186979.3123,54432.3806,280.1658,169322.1399,73057.8674,6088.1556,29261.2368,16433.1401,9263.4398,29768.9032,62722.0313,22802.4911
"base",2040,10,399004.9560,74420.3285,346.8958,78589.0033,148106.7870,12342.2322,20533.6214,0.0000,162.0204,2347.1618,1981.8935,1089.4328
"base",2040,11,308906.3109,69391.8018,149.9527,35533.2816,104599.6372,8716.6364,10068.8316,0.0000,322.2268,5442.9365,4569.3474,4659.2838
"base",2040,12,339232.4132,68073.7053,251.8630,6759.0468,27546.8863,2295.5739,2443.4064,0.0000,590.3500,2875.9187,6602.4097,2545.1332
"base",2040,13,345493.9670,68463.1964,99.0000,5942.6017,32255.3416,2687.9451,0.0000,0.0000,69.7498,948.6614,885.1906,1033.1976
"base",2040,14,103978.1022,24953.1628,114.5146,18751.1464,25104.2054,2092.0171,311.0000,0.0000,179.8058,5799.8504,4529.6387,3702.4955
"base",2040,15,57505.1784,11618.2120,18.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,427.2061,151.5318,369.3130
"base",2040,16,399093.9924,79969.3042,154.5793,7363.6706,31634.1214,2636.1768,1825.9683,2529.5789,859.4891,5963.3362,6691.1140,5383.3282
"base",2040,17,76182.3196,10334.1992,101.1636,7845.8209,29982.9744,2498.5812,6477.5135,0.0000,170.1315,2014.3484,1663.7980,1157.9170
"base",2040,18,661758.9472,134043.4653,148.0000,1035.6847,5233.4319,436.1193,1032.5080,0.0000,794.6699,3749.9572,2802.6639,1575.6936
"base",2040,19,486291.6011,98597.8868,49.1000,1990.4244,5954.3420,496.1952,0.0000,0.0000,236.7097,386.8094,496.6816,636.3054
"base",2040,2,101196.7817,24767.8941,93.3395,33348.4758,23893.7522,1991.1460,0.0000,12583.2739,4060.3948,6018.5209,37869.9426,9634.5389
"base",2040,20,83611.1260,17227.5501,32.0000,1043.6874,3578.7899,298.2325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2040,21,522014.6427,104717.7760,34.7000,780.2649,4887.8526,407.3210,0.0000,0.0000,25.2853,269.4304,768.5316,611.2022
"base",2040,22,762007.4332,159333.5105,158.6000,33970.3216,60852.2479,5071.0207,3311.5700,19144.2234,2283.9538,2898.5156,3279.6176,1250.5712
"base",2040,23,531765.0380,107849.7179,54.8000,1890.0691,2577.9593,214.8299,0.0000,0.0000,0.0000,2200.3293,2722.0145,1606.0037
"base",2040,3,185415.3720,37751.3666,83.3295,18921.0328,51465.1614,4288.7634,0.0000,0.0000,1143.0976,736.1269,3104.4486,1212.0126
"base",2040,4,267967.1115,84452.1562,273.4494,61520.0194,64266.2662,5355.5222,1524.0000,1880.2906,36790.6542,15680.5895,25885.4146,10551.8120
"base",2040,5,186619.8962,56199.7760,183.7454,62435.2663,52678.2873,4389.8573,8199.0225,18837.7520,10168.8057,20385.3511,22259.6248,9703.3074
"base",2040,6,232911.0000,44488.1402,318.1620,91097.0928,90441.7495,7536.8125,35780.9139,0.0000,2122.7247,37651.6747,32772.3196,22951.7077
"base",2040,7,363468.2127,76704.5066,246.6174,46071.1206,82312.4986,6859.3749,1451.8037,3828.8447,3221.8163,10747.9972,13606.1666,7465.6602
"base",2040,8,44247.8114,13449.6098,60.5218,6007.1597,8159.6333,679.9694,35.0000,0.0000,18.2534,885.2883,451.5442,732.3280
"base",2040,9,77830.7925,19261.9573,57.8970,11770.6198,17393.0869,1449.4239,771.5202,0.0000,13.0639,1241.2218,1406.2569,1042.9476
