"scenario","year","ravtaz","Pop_Forecast","Total_Aprt","Average","Total_Emp","Total_Students","EmployedEducation","Yeshiva","Total Higher_Education","Industry","Commerce_Hotel","Business","Public"
"base",2020,26,22535.4156,4896.4526,17.9505,2441.3125,11751.1605,979.2634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,3,6546.8060,1296.5113,49.5000,13039.7761,7386.9244,615.5770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,31,2514.6511,720.8246,21.7000,16500.6948,453.9333,37.8278,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,32,19499.2156,6899.3036,36.8475,3618.1996,3430.1229,285.8436,320.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,33,16523.8968,4853.1545,23.0903,2081.2307,2004.3004,167.0250,47.0000,148.3500,0.0000,0.0000,0.0000,0.0000
"base",2020,34,26294.9668,7062.0000,29.1130,2133.9011,5508.9571,459.0798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,35,15579.5361,4794.3529,16.5818,1832.2629,3454.6839,287.8903,121.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,36,19026.5439,6170.9050,25.0243,1882.9497,3259.7681,271.6473,82.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,37,15052.2809,3588.0674,42.0786,1193.7234,3266.6202,272.2184,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,38,18524.4010,6423.8320,26.7819,2892.8062,5108.1688,425.6807,434.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,39,15784.3018,7106.9827,20.7446,3400.0283,4139.4614,344.9551,44.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,4,35701.7239,7264.5709,17.8590,11502.3843,7308.4000,609.0333,1482.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,40,17320.0215,6378.0496,34.3876,6250.1728,6106.8292,508.9024,368.0000,1213.6750,0.0000,0.0000,0.0000,0.0000
"base",2020,41,22474.4919,4891.8733,41.4703,5932.8588,10695.0141,891.2512,5711.5660,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,42,8717.4554,2203.7270,12.6834,7001.9142,4261.5725,355.1310,1083.0000,5592.2600,0.0000,0.0000,0.0000,0.0000
"base",2020,43,5969.8891,2313.0000,5.13179,362.2682,2009.0967,167.4247,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,44,0.0000,0.0000,0.0000,7946.9479,0.0000,0.0000,0.0000,1295.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,45,13784.6781,4349.4430,23.2638,1595.3874,2046.2270,170.5189,375.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,46,26490.7073,8365.4625,25.8225,2878.0048,4776.5402,398.0450,498.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,47,17177.4394,5773.7000,27.7864,1068.2643,3933.3232,327.7769,124.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,48,4252.1000,1338.0000,12.7000,7952.3000,170.4102,14.2009,0.0000,3774.9600,0.0000,0.0000,0.0000,0.0000
"base",2020,49,0.0000,0.0000,0.0000,156.1065,1238.0000,103.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,5,2934.6416,1739.5182,17.8536,7529.8136,102.0000,8.5,266.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,50,18419.2586,6974.6806,19.0441,3696.6402,3360.9166,280.0764,179.0000,3401.7500,0.0000,0.0000,0.0000,0.0000
"base",2020,51,0.0000,0.0000,0.0000,12932.2613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,52,27029.6243,5447.1531,42.6238,4697.5674,10043.4064,836.9505,3857.4646,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,53,43372.3516,8174.9455,70.7242,12743.1724,20833.2960,1736.1080,12797.0351,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,54,21916.4290,5244.3838,25.7617,3494.6935,8308.1486,692.3457,3257.3886,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,55,0.0000,0.0000,0.0000,16913.0094,1697.0000,141.4167,1039.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,56,16038.9393,3523.0550,17.8543,2686.0401,6073.1516,506.0960,3890.8026,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,57,2490.0423,739.5809,6.68198,477.4665,198.8138,16.5678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,58,19370.7889,4021.0084,38.3896,2711.5743,5049.1386,420.7616,920.4123,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,59,31571.1609,5810.6986,38.3756,3827.3110,12701.8354,1058.4863,4616.5701,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,6,11981.2384,6557.7544,19.9445,5978.6101,4238.0000,353.1667,177.0000,135.2000,0.0000,0.0000,0.0000,0.0000
"base",2020,60,17476.9016,2558.8682,33.9504,1610.6619,6147.5223,512.2935,2251.2268,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,61,19919.3613,4093.2475,29.3054,2706.0426,5908.1830,492.3486,190.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,62,6419.7398,957.3742,13.4010,449.2022,1889.9981,157.4998,1013.7399,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,63,21035.5136,6305.5515,36.8100,1448.9739,3276.4753,273.0396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,64,26116.3893,6985.2748,36.6635,2370.0676,4623.7325,385.3110,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,65,54658.8591,9976.7336,16.2270,2037.5074,4651.6203,387.6350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,66,34190.5247,8325.6214,41.1545,2959.8089,14880.3543,1240.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,67,29531.1708,7347.3543,44.6000,2266.8518,14653.0340,1221.0862,0.0000,3150.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,68,1093.3789,290.0000,7.54054,8063.6156,644.0000,53.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,69,51692.2082,10256.6636,10.0818,1879.7869,10544.9213,878.7434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,7,2566.8000,1257.0000,6.9,14310.3392,2674.2000,222.8500,24.0000,6255.2000,0.0000,0.0000,0.0000,0.0000
"base",2020,70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,71,40094.1532,10268.3940,69.6323,9107.1194,12273.0509,1022.7542,311.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,72,45112.2507,9022.4501,20.0000,694.7287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,73,238768.4103,47753.6821,110.0000,3677.0335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,74,34630.3314,7389.1883,38.0793,3336.7785,11897.7218,991.4768,172.2543,1894.1500,0.0000,0.0000,0.0000,0.0000
"base",2020,75,59270.0000,8151.1146,93.8636,4291.3933,27557.0111,2296.4176,5169.0539,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,76,55394.2991,13574.1573,53.8394,6975.7355,9862.1336,821.8445,686.3623,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,77,31584.6487,10186.4098,47.9099,2858.6966,4709.8982,392.4915,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,78,21515.8086,4889.3391,32.3549,1616.9086,7618.4934,634.8745,409.1433,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,79,52542.9233,10042.8911,66.1000,5445.4753,19679.9225,1639.9935,663.4767,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,8,2356.6506,890.0000,12.5179,5862.2929,401.0000,33.4167,10.5203,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,80,224217.5879,44843.5176,215.0000,3452.9509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,82,9312.5254,1707.0864,16.1000,688.1593,3325.0628,277.0886,642.8027,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,83,440949.8006,88189.9601,145.0000,6790.6269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,84,12564.9000,3258.3333,11.4184,917.5893,1570.3336,130.8611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,85,126578.5000,24737.0000,165.1000,18294.4934,44706.0338,3725.5028,5227.6361,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,86,21064.8845,5240.8920,27.8667,7402.3614,6331.3509,527.6126,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,87,91762.7353,24409.0588,61.7795,13657.0336,27145.3424,2262.1119,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,88,88080.1056,13132.0604,61.9023,7295.1740,38437.7542,3203.1462,6778.0772,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,89,13976.8000,2866.0000,15.3000,713.1153,5372.0000,447.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,9,10003.8994,5344.4659,19.6192,5335.3489,1955.6076,162.9673,1503.1847,387.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,90,200376.5115,40123.3404,54.2000,3187.4901,325.9243,27.1604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,91,100869.4361,24481.4275,71.0000,17394.3516,30476.7306,2539.7276,776.2700,15750.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,92,436452.2189,87290.4438,90.0000,6721.3642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,93,7672.0000,1180.3077,6.5,506.6893,2992.4074,249.3673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,94,391546.4748,78309.2950,30.0000,6029.8157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,95,3626.2971,930.5743,7.5,1285.8862,1266.6464,105.5539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,96,400718.7491,80143.7498,50.0000,6171.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,97,5753.1483,1394.6961,12.8000,664.7176,2073.3388,172.7782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,98,54331.4700,10866.2940,20.0000,836.7046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,99,313008.7863,62601.7573,20.0000,4820.3353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,1,13094.0731,5523.3658,35.4949,33674.8491,2533.0453,211.0871,92.0000,4129.6500,0.0000,0.0000,0.0000,0.0000
"base",2025,10,27628.2266,6422.5455,33.9858,10632.6514,15629.5335,1302.4611,7253.3100,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,100,11059.0689,2139.6872,30.2000,1113.7930,3209.1969,267.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,11,2045.4775,1092.8571,6.97857,9044.1886,0.0000,0.0000,0.0000,11857.5000,0.0000,0.0000,0.0000,0.0000
"base",2025,12,22170.6377,4582.6428,19.2563,1793.6672,5121.2404,426.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,13,31059.6080,7492.7978,25.3166,4540.3797,9340.1115,778.3426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,14,9659.6840,2385.5013,22.8297,5697.1111,1931.9368,160.9947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,15,7062.7203,2728.1243,14.5807,3158.8996,1667.2573,138.9381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,2,45675.4762,8788.4584,65.0469,11957.0947,24471.9652,2039.3304,17610.0900,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,22,22137.8163,4392.2072,15.0943,1806.1325,5467.3821,455.6152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,23,23596.5570,4957.3775,14.2797,1812.7431,5326.4359,443.8697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,24,31758.2091,5915.5171,16.1070,1878.7077,4793.0600,399.4217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,25,29675.2951,6102.5871,19.6174,2275.0269,8751.2360,729.2697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,26,27828.2968,6045.6551,17.9505,2647.3552,12871.0573,1072.5881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,3,7318.8121,1353.5113,48.7000,15399.3210,7615.5562,634.6297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,31,3229.4511,872.8246,22.2000,16561.6837,923.3840,76.9487,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,32,20894.8812,7409.2036,37.4475,4098.6646,5309.0806,442.4234,320.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,33,16523.8968,4853.1545,23.0903,2975.7657,3442.8883,286.9074,47.0000,170.6025,0.0000,0.0000,0.0000,0.0000
"base",2025,34,26365.2668,7081.0000,29.1130,1928.8187,6999.7999,583.3167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,35,15593.7206,4820.3279,16.5225,1774.4352,3613.1770,301.0981,121.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,36,22721.4641,7278.3050,25.1967,2085.6738,4351.7666,362.6472,82.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,37,18153.0191,4334.6314,42.0786,1329.8677,3765.7757,313.8146,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,38,19697.4373,6903.9153,26.5078,2963.8516,5451.8836,454.3236,434.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,39,16064.3161,7362.3161,20.4554,3428.5538,4236.1691,353.0141,44.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,4,35950.9966,7314.5709,17.8879,11704.1010,7383.1818,615.2652,1482.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,40,17567.5056,6813.6496,33.0624,7148.4158,6218.5976,518.2165,368.0000,1304.7006,0.0000,0.0000,0.0000,0.0000
"base",2025,41,24030.4840,5188.0733,41.7507,6112.3249,11476.4867,956.3739,5709.8654,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,42,9395.0819,2243.7270,13.0051,7739.2378,4833.7366,402.8114,1083.0000,6031.5353,0.0000,0.0000,0.0000,0.0000
"base",2025,43,6432.4891,2313.0000,5.53179,372.8694,2124.7467,177.0622,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,44,0.0000,0.0000,0.0000,8908.6231,0.0000,0.0000,0.0000,1397.6250,0.0000,0.0000,0.0000,0.0000
"base",2025,45,15780.7702,5001.6263,23.0043,1712.5513,2434.1985,202.8499,375.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,46,30226.5807,9498.1625,25.9674,3213.9886,5519.4549,459.9546,498.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,47,17489.5989,5791.2250,28.0362,1074.7584,3995.7551,332.9796,124.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,48,4229.2000,1353.0000,12.5000,8489.1447,172.1509,14.3459,0.0000,4039.2072,0.0000,0.0000,0.0000,0.0000
"base",2025,49,0.0000,0.0000,0.0000,158.4158,1238.0000,103.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,5,2951.6715,1748.1682,17.8828,7633.4787,102.0000,8.5,266.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,50,19437.1636,7414.4806,18.9884,3834.0016,3514.1224,292.8435,179.0000,3658.1875,0.0000,0.0000,0.0000,0.0000
"base",2025,51,0.0000,0.0000,0.0000,17474.4659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,52,29743.4921,5870.8781,43.6852,5013.9222,10718.3932,893.1994,4081.7174,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,53,46620.6077,8687.9072,71.7402,13140.2578,22770.5330,1897.5444,12651.9753,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,54,25806.6991,6123.9838,29.6571,3824.3020,9144.0242,762.0020,3408.3123,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,55,186.7909,54.0000,3.45909,18310.6888,1697.0000,141.4167,1039.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,56,16350.0383,3699.8050,17.3078,2792.1654,6507.2410,542.2701,3815.6450,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,57,2795.5292,884.5809,6.2633,516.0416,182.2025,15.1835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,58,20184.6292,4033.0084,39.5015,2805.3418,5399.5925,449.9660,907.4229,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,59,35356.0263,6558.2986,38.2727,4337.6997,13475.6731,1122.9728,4707.6324,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,6,12376.5123,6806.4977,19.8562,6169.3332,4356.9334,363.0778,177.0000,175.7600,0.0000,0.0000,0.0000,0.0000
"base",2025,60,24944.9808,3915.8682,38.6173,2341.0347,8814.0886,734.5074,3093.9668,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,61,21062.5613,4161.6891,30.3939,2799.0132,6560.7015,546.7251,190.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,62,6459.6569,970.1742,13.3045,475.8609,2170.0684,180.8390,946.1926,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,63,22677.7211,6788.8515,37.4775,1531.2050,3767.5698,313.9641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,64,26042.2349,6985.2748,36.5580,2409.5880,4918.3794,409.8649,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,65,61125.5580,11754.9150,15.6000,2256.4592,5546.5125,462.2094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,66,38517.8809,9381.9237,41.1602,3104.3100,15570.1559,1297.5130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,67,33556.7081,8353.7386,44.6000,2510.9027,15416.8105,1284.7342,0.0000,3307.5000,0.0000,0.0000,0.0000,0.0000
"base",2025,68,1093.3789,290.0000,7.54054,8063.6156,644.0000,53.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,69,59144.1239,10762.3302,10.9934,1932.1383,10691.2671,890.9389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,7,2589.8400,1266.6000,6.9,17013.3616,2681.1120,223.4260,24.0000,6702.6575,0.0000,0.0000,0.0000,0.0000
"base",2025,70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,71,42981.6716,10884.7390,69.6527,11112.9333,12038.5920,1003.2160,311.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,72,48239.9381,9660.7537,19.6000,743.8780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,73,258999.8946,51882.5564,107.8000,3994.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,74,42793.4261,8918.1193,38.9793,3858.2012,13908.1115,1159.0093,259.2407,2036.2113,0.0000,0.0000,0.0000,0.0000
"base",2025,75,66940.4684,8961.1146,96.4636,4397.5928,28990.7497,2415.8958,5901.0449,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,76,60608.4509,14818.3573,54.4137,7512.2659,12368.6231,1030.7186,697.5735,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,77,35917.4567,11421.4098,55.0927,3058.0274,5911.8154,492.6513,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,78,24498.0933,5557.4105,37.2967,1774.6502,8778.1309,731.5109,484.7612,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,79,63909.1214,12161.6670,66.2000,6202.3484,21785.3419,1815.4452,988.1005,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,8,3600.5194,1357.5000,12.5651,10209.9175,508.5119,42.3760,34.7403,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,80,240376.3961,48141.2335,210.7000,3706.8750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,82,10702.8058,1964.0121,16.1000,749.1994,3639.0722,303.2560,772.7893,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,83,492676.5872,98746.4472,142.1000,7603.4764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,84,13812.3000,3543.3333,11.5171,950.2761,1687.5173,140.6264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,85,167705.3600,31858.9000,205.1000,19889.4867,55283.8718,4606.9893,7519.6051,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,86,22267.0000,5556.8351,27.4625,8931.2095,7038.9675,586.5806,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,87,101231.6211,27487.6588,68.0031,16532.7679,32095.9425,2674.6619,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,88,97875.9185,14423.4890,62.5177,7386.7080,38575.6281,3214.6357,8132.5969,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,89,18050.0800,3666.4000,15.3000,930.0126,7065.8158,588.8180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,9,10403.1103,5701.1850,19.2763,5786.1673,1981.9847,165.1654,1504.1215,416.0250,0.0000,0.0000,0.0000,0.0000
"base",2025,90,217446.1223,43614.7893,53.2000,3470.5346,360.1187,30.0099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,91,119081.1836,28052.0498,72.5000,19263.5213,35832.5359,2986.0447,1695.5538,16537.5000,0.0000,0.0000,0.0000,0.0000
"base",2025,92,474344.8680,95023.6375,88.2000,7316.8201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,93,9389.9037,1444.6006,6.5,541.2519,3025.9449,252.1621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,94,423776.3643,84886.8234,29.4000,6536.2854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,95,4522.8263,1159.3942,7.5,1426.5644,1537.2263,128.1022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,96,435133.0263,87167.0717,49.0000,6711.8645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,97,6874.4254,1662.6945,12.8000,766.1967,2384.8138,198.7345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,98,59408.2349,11902.3685,19.6000,916.4824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,99,351359.1819,70428.3686,19.6000,5422.9844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,1,15498.9004,6463.9158,36.2308,36012.0812,2709.7581,225.8132,92.0000,6836.1325,0.0000,0.0000,0.0000,0.0000
"base",2030,10,30985.6190,7163.0791,33.9284,10715.0596,15721.3442,1310.1120,7336.6416,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,100,13485.6729,2621.4623,30.0000,1326.7198,3902.3793,325.1983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,11,3940.9339,1313.6446,9.2,9587.7641,456.1401,38.0117,0.0000,12094.6500,0.0000,0.0000,0.0000,0.0000
"base",2030,12,27289.9426,5558.1428,19.4726,2172.0009,5624.2761,468.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,13,32542.0490,7841.7034,25.3256,5148.1395,9932.9610,827.7467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,14,10041.8618,2478.4026,22.8297,6037.5469,2008.3724,167.3644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,15,9260.7165,2999.8243,16.0754,3326.4839,1820.4822,151.7068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,2,48657.8082,9309.1551,65.6715,12408.6317,25317.6954,2109.8080,17787.3472,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,22,24448.1831,4845.1754,15.0943,1904.8286,6163.5731,513.6311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,23,25410.0644,5345.7756,14.2518,1889.7635,5840.4039,486.7003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
